,PC1,PC2,PC3,sample_id,Super_Population,Population,Population_Description
597,-43311.54607512118,11489.885228248557,3902.8944961943375,NA12154,EUR,CEU,Utah residents with Northern and Western European ancestry
598,-57940.757632817105,-6036.994892399655,-3556.547294681922,NA12155,EUR,CEU,Utah residents with Northern and Western European ancestry
599,-54624.14432975891,10366.33502375057,3870.2777765766277,NA12156,EUR,CEU,Utah residents with Northern and Western European ancestry
600,-52590.13787020085,1319.7213958102511,-5093.944075586494,NA12234,EUR,CEU,Utah residents with Northern and Western European ancestry
601,-61126.79614570496,14536.595480706905,-12778.414439931934,NA12249,EUR,CEU,Utah residents with Northern and Western European ancestry
602,-39869.851176921526,5223.166385272626,-9353.92264030697,NA12272,EUR,CEU,Utah residents with Northern and Western European ancestry
603,-36687.09262435556,1692.7907736213738,1395.7185439086088,NA12273,EUR,CEU,Utah residents with Northern and Western European ancestry
604,-37343.015328741865,5716.489577801811,7163.817839687758,NA12275,EUR,CEU,Utah residents with Northern and Western European ancestry
605,-39080.279488808854,10419.613121798013,-13182.99063293829,NA12282,EUR,CEU,Utah residents with Northern and Western European ancestry
606,-42090.030326746164,12313.85454627154,-17445.12714658663,NA12283,EUR,CEU,Utah residents with Northern and Western European ancestry
607,-45758.19249092046,5379.103906452461,6147.658977848989,NA12286,EUR,CEU,Utah residents with Northern and Western European ancestry
608,-46169.93267832394,7700.391064974026,12834.81914431913,NA12287,EUR,CEU,Utah residents with Northern and Western European ancestry
609,-48437.04524245038,10581.11542249741,-5917.585553275284,NA12340,EUR,CEU,Utah residents with Northern and Western European ancestry
610,-23826.53857290244,9003.226653938895,18797.297751919967,NA12341,EUR,CEU,Utah residents with Northern and Western European ancestry
611,-53459.408675009,5902.197281029438,-1921.1564375401633,NA12342,EUR,CEU,Utah residents with Northern and Western European ancestry
612,-37549.46266564917,932.9689362746403,-5089.7035210999165,NA12347,EUR,CEU,Utah residents with Northern and Western European ancestry
613,-26098.79919525696,16125.068390433293,9524.471769503552,NA12348,EUR,CEU,Utah residents with Northern and Western European ancestry
614,-43473.076183764315,9729.136108287346,-108.35682477156962,NA12383,EUR,CEU,Utah residents with Northern and Western European ancestry
615,-47974.3011437291,11598.06866704457,4704.01946184193,NA12399,EUR,CEU,Utah residents with Northern and Western European ancestry
616,-48989.94567649914,5190.30577364051,-8641.402279097521,NA12400,EUR,CEU,Utah residents with Northern and Western European ancestry
617,-42641.043899941,-846.7556522679403,14853.583673048086,NA12413,EUR,CEU,Utah residents with Northern and Western European ancestry
618,-41084.83869219515,3110.100106156249,-3326.057644229616,NA12414,EUR,CEU,Utah residents with Northern and Western European ancestry
619,-68144.7529962197,2607.3458128541056,13605.414801589934,NA12489,EUR,CEU,Utah residents with Northern and Western European ancestry
620,-55431.331432351755,-658.3438921311686,9491.420788745243,NA12546,EUR,CEU,Utah residents with Northern and Western European ancestry
621,-63091.757611296314,8554.17296940467,2164.1239992711953,NA12716,EUR,CEU,Utah residents with Northern and Western European ancestry
622,-50579.04056597491,2056.193290423955,2166.471738553076,NA12717,EUR,CEU,Utah residents with Northern and Western European ancestry
623,-57251.712080939935,3299.6606124829937,7807.581586773351,NA12718,EUR,CEU,Utah residents with Northern and Western European ancestry
624,-60650.220100584476,10086.046624576875,-9127.613885348568,NA12748,EUR,CEU,Utah residents with Northern and Western European ancestry
625,-60231.514480290345,10596.432822816216,5822.8399192774405,NA12749,EUR,CEU,Utah residents with Northern and Western European ancestry
626,-56101.81029800034,1665.7501391693638,10365.751105801703,NA12750,EUR,CEU,Utah residents with Northern and Western European ancestry
627,-51333.27052055815,9792.484913065997,-8029.598808290498,NA12751,EUR,CEU,Utah residents with Northern and Western European ancestry
628,-38839.608129726315,14965.895716547646,-15532.64522880664,NA12760,EUR,CEU,Utah residents with Northern and Western European ancestry
629,-57314.154249364336,-2894.3429618794426,12426.257619752514,NA12761,EUR,CEU,Utah residents with Northern and Western European ancestry
630,-67568.04107995861,10077.562104102619,429.25302893217173,NA12762,EUR,CEU,Utah residents with Northern and Western European ancestry
631,-57172.200333459565,-6560.920125261053,-5295.382149303138,NA12763,EUR,CEU,Utah residents with Northern and Western European ancestry
632,-64596.107626021476,-1422.7405745123506,6207.130468479108,NA12775,EUR,CEU,Utah residents with Northern and Western European ancestry
633,-37930.26485335392,8462.88357730894,4337.787548039657,NA12776,EUR,CEU,Utah residents with Northern and Western European ancestry
634,-70232.29415986252,7703.414316254529,1377.0165402824448,NA12777,EUR,CEU,Utah residents with Northern and Western European ancestry
635,-42880.64836842723,8557.970235100756,2513.6872494418785,NA12778,EUR,CEU,Utah residents with Northern and Western European ancestry
636,-61818.48432591326,20070.530135767225,-11967.673647059071,NA12812,EUR,CEU,Utah residents with Northern and Western European ancestry
637,-41528.06859196666,11190.393048983648,-3922.6147512620705,NA12813,EUR,CEU,Utah residents with Northern and Western European ancestry
638,-46645.373079061785,16187.920851121413,-5624.054364517459,NA12814,EUR,CEU,Utah residents with Northern and Western European ancestry
639,-42186.73400578421,6694.545082298031,-9900.218310244949,NA12815,EUR,CEU,Utah residents with Northern and Western European ancestry
640,-47752.57026916846,9080.160829126324,-8413.156531961533,NA12827,EUR,CEU,Utah residents with Northern and Western European ancestry
641,-59809.158460947794,16544.487007533717,-2097.436597031087,NA12828,EUR,CEU,Utah residents with Northern and Western European ancestry
642,-46759.847933788624,16582.833231381956,7194.045087841366,NA12829,EUR,CEU,Utah residents with Northern and Western European ancestry
643,-49142.302517709846,19355.623263903726,-9677.594281189296,NA12830,EUR,CEU,Utah residents with Northern and Western European ancestry
644,-54240.37290748976,6261.177276799719,15959.423963512732,NA12842,EUR,CEU,Utah residents with Northern and Western European ancestry
645,-41622.0644336741,5284.312571446262,4698.541070589841,NA12843,EUR,CEU,Utah residents with Northern and Western European ancestry
646,-53588.76163980479,1240.0882248008295,2228.659051500722,NA12872,EUR,CEU,Utah residents with Northern and Western European ancestry
647,-50959.10526864014,5964.544128959144,-19786.8129393506,NA12873,EUR,CEU,Utah residents with Northern and Western European ancestry
648,-56341.43045017541,4332.709615090804,-23161.224710007336,NA12874,EUR,CEU,Utah residents with Northern and Western European ancestry
649,-53373.60350168202,6228.519356829298,3692.225072768678,NA12878,EUR,CEU,Utah residents with Northern and Western European ancestry
650,-44919.14429756114,5954.188567629817,-10105.95323505202,NA12889,EUR,CEU,Utah residents with Northern and Western European ancestry
651,-35124.738733009675,1629.7727087811156,-757.9118636429525,NA12890,EUR,CEU,Utah residents with Northern and Western European ancestry
652,117619.04709385373,16409.569912640796,1005.0239506237801,NA18528,EAS,CHB,"Han Chinese in Bejing, China"
653,100809.92943873547,17068.312566936507,3160.3528908169314,NA18532,EAS,CHB,"Han Chinese in Bejing, China"
654,125860.06185653045,11203.114440595999,-3157.6918543709394,NA18533,EAS,CHB,"Han Chinese in Bejing, China"
655,113603.52426184567,19307.504192983564,6843.304559935653,NA18535,EAS,CHB,"Han Chinese in Bejing, China"
656,134107.36813905573,16966.04228516015,4501.041989660726,NA18537,EAS,CHB,"Han Chinese in Bejing, China"
657,127073.5902266776,12118.617978240793,-39.588729557620454,NA18538,EAS,CHB,"Han Chinese in Bejing, China"
658,124196.12181433577,12122.955939107002,2056.9455004537504,NA18547,EAS,CHB,"Han Chinese in Bejing, China"
659,127907.66127039518,10565.921596587532,-712.9641077962832,NA18549,EAS,CHB,"Han Chinese in Bejing, China"
660,121430.27616318341,6320.445683587604,6032.087854131067,NA18550,EAS,CHB,"Han Chinese in Bejing, China"
661,134991.2829297551,25394.8285027952,-4193.211422754751,NA18555,EAS,CHB,"Han Chinese in Bejing, China"
662,108767.2796139472,7796.560713841658,1331.8923516470427,NA18562,EAS,CHB,"Han Chinese in Bejing, China"
663,115017.2061410113,15632.512811873423,-1846.3377858492872,NA18564,EAS,CHB,"Han Chinese in Bejing, China"
664,126883.94849686396,19306.90849418205,-649.2350807030227,NA18565,EAS,CHB,"Han Chinese in Bejing, China"
665,134485.0742739395,8771.49641828142,7026.571889411483,NA18566,EAS,CHB,"Han Chinese in Bejing, China"
666,128328.45087753565,9493.876120896779,4714.655862681008,NA18573,EAS,CHB,"Han Chinese in Bejing, China"
667,115184.40948575697,15567.690750466196,-2380.8325042105466,NA18574,EAS,CHB,"Han Chinese in Bejing, China"
668,102147.2569955448,21102.7349691124,-14598.119129694558,NA18582,EAS,CHB,"Han Chinese in Bejing, China"
669,124331.71940747598,8358.883562783261,6741.343041828273,NA18592,EAS,CHB,"Han Chinese in Bejing, China"
670,124267.39219494995,9160.364930587704,22.74420632796036,NA18593,EAS,CHB,"Han Chinese in Bejing, China"
671,113796.65767624528,-1922.9703701766928,1700.352618636469,NA18608,EAS,CHB,"Han Chinese in Bejing, China"
672,121683.7602881402,23141.756495905916,-4291.948289419577,NA18609,EAS,CHB,"Han Chinese in Bejing, China"
673,95031.70786460934,10175.925574176412,-1125.8121811008011,NA18610,EAS,CHB,"Han Chinese in Bejing, China"
674,102548.38311841877,18881.544440332353,-4708.608600952053,NA18618,EAS,CHB,"Han Chinese in Bejing, China"
675,129909.98354773043,23682.777074135443,-9977.668176404468,NA18619,EAS,CHB,"Han Chinese in Bejing, China"
676,115735.60670200866,11133.490925166612,-8920.851225916073,NA18620,EAS,CHB,"Han Chinese in Bejing, China"
677,115974.35414672342,8342.340239405625,1446.8090282873102,NA18622,EAS,CHB,"Han Chinese in Bejing, China"
678,121705.44663036162,12029.630524644874,-11554.209160172284,NA18623,EAS,CHB,"Han Chinese in Bejing, China"
679,106826.97840862843,7677.718926046481,-456.5797765822987,NA18629,EAS,CHB,"Han Chinese in Bejing, China"
680,120911.8344631077,18467.32408581774,-8053.9809767574225,NA18636,EAS,CHB,"Han Chinese in Bejing, China"
681,110699.64147990389,-2789.473664869017,-1488.3779566403925,NA18638,EAS,CHB,"Han Chinese in Bejing, China"
682,128144.02916325771,6678.688223142862,-32.79072156278739,NA18639,EAS,CHB,"Han Chinese in Bejing, China"
683,103587.1523970693,7870.585361796768,9657.093518380168,NA18640,EAS,CHB,"Han Chinese in Bejing, China"
684,103771.09391310805,16221.878564187236,-14822.872393140638,NA18642,EAS,CHB,"Han Chinese in Bejing, China"
685,108485.32711483764,4321.482055406452,-8275.60500572577,NA18643,EAS,CHB,"Han Chinese in Bejing, China"
686,120314.55361818125,14290.579470010824,4025.289184509328,NA18646,EAS,CHB,"Han Chinese in Bejing, China"
687,116522.87054186102,6139.970961705068,11002.62024399352,NA18747,EAS,CHB,"Han Chinese in Bejing, China"
688,108842.72168039657,9579.476466342883,-3039.6029375848602,NA18748,EAS,CHB,"Han Chinese in Bejing, China"
689,104613.04546524552,4317.258936131711,14481.939460488806,NA18749,EAS,CHB,"Han Chinese in Bejing, China"
690,108043.75254947275,-1795.1994218840039,-7470.516106865016,NA18944,EAS,JPT,"Japanese in Tokyo, Japan"
691,118941.34374634718,3117.958528123147,5306.997046305055,NA18950,EAS,JPT,"Japanese in Tokyo, Japan"
692,100672.79853813554,13877.646028546582,-6644.830166937454,NA18951,EAS,JPT,"Japanese in Tokyo, Japan"
693,113896.04871814897,9303.632778619769,110.67502003549885,NA18954,EAS,JPT,"Japanese in Tokyo, Japan"
694,124008.83280121049,8354.785479078517,7041.710997527893,NA18956,EAS,JPT,"Japanese in Tokyo, Japan"
695,90389.19259579391,2994.640981568467,936.790127741997,NA18957,EAS,JPT,"Japanese in Tokyo, Japan"
696,125227.81373347434,-3786.405723734182,6725.067393921858,NA18961,EAS,JPT,"Japanese in Tokyo, Japan"
697,120184.71040687517,7329.543363594552,7731.662290033079,NA18966,EAS,JPT,"Japanese in Tokyo, Japan"
698,109969.31075359175,9343.417391338538,6503.839717765097,NA18967,EAS,JPT,"Japanese in Tokyo, Japan"
699,109865.61322270459,15941.978631238875,428.55004889643624,NA18968,EAS,JPT,"Japanese in Tokyo, Japan"
700,115738.990060819,10367.980937448376,5024.532119850759,NA18974,EAS,JPT,"Japanese in Tokyo, Japan"
701,114975.98833484552,14924.361573291075,6201.035623552254,NA18976,EAS,JPT,"Japanese in Tokyo, Japan"
702,118395.4432772113,16736.70552054834,8209.734711355404,NA18978,EAS,JPT,"Japanese in Tokyo, Japan"
703,110650.39521547411,5264.725650069546,-4931.090598588421,NA18980,EAS,JPT,"Japanese in Tokyo, Japan"
704,115659.81902263488,16383.684823652602,1627.3731778534568,NA18982,EAS,JPT,"Japanese in Tokyo, Japan"
705,118965.66796418974,8972.886538620953,4887.1607250032575,NA18986,EAS,JPT,"Japanese in Tokyo, Japan"
706,110557.162322755,8007.086080183585,464.4099078366629,NA18987,EAS,JPT,"Japanese in Tokyo, Japan"
707,104833.79550669748,5983.449663043187,-14853.780075314548,NA18989,EAS,JPT,"Japanese in Tokyo, Japan"
708,113716.49843333238,2850.129455556293,-7330.304281590748,NA18990,EAS,JPT,"Japanese in Tokyo, Japan"
709,114721.33622138479,13602.923913223336,1549.5885326149107,NA18992,EAS,JPT,"Japanese in Tokyo, Japan"
710,116127.01220691066,17014.796905531213,-13199.195208337711,NA18994,EAS,JPT,"Japanese in Tokyo, Japan"
711,108629.3735931494,10602.076875476365,15095.629578056716,NA18997,EAS,JPT,"Japanese in Tokyo, Japan"
712,109019.26762536801,-1090.462054376916,11717.112184622349,NA19000,EAS,JPT,"Japanese in Tokyo, Japan"
713,119431.57914208072,4471.344928986089,4855.381979378949,NA19003,EAS,JPT,"Japanese in Tokyo, Japan"
714,109814.29965696095,8591.573489067323,1465.418628628601,NA19004,EAS,JPT,"Japanese in Tokyo, Japan"
715,91375.28993522242,-1628.9299542200495,-13531.99247081267,NA19009,EAS,JPT,"Japanese in Tokyo, Japan"
716,118933.52381748437,16243.414421598309,-1158.761648330368,NA19010,EAS,JPT,"Japanese in Tokyo, Japan"
717,116659.3569018029,14271.524217343027,-11848.351117668524,NA19011,EAS,JPT,"Japanese in Tokyo, Japan"
718,98696.94019964375,522.1390688023234,-12869.476090941815,NA19056,EAS,JPT,"Japanese in Tokyo, Japan"
719,114889.03168622995,2966.668947324913,4132.299875322197,NA19058,EAS,JPT,"Japanese in Tokyo, Japan"
720,107674.84423041974,3482.058433164654,8193.14676852706,NA19060,EAS,JPT,"Japanese in Tokyo, Japan"
721,101805.02910860348,-645.6889438995012,1355.6046178547092,NA19063,EAS,JPT,"Japanese in Tokyo, Japan"
722,121206.68202219297,9036.17755109396,-5694.381951373604,NA19064,EAS,JPT,"Japanese in Tokyo, Japan"
723,102938.6728717201,14370.737693330782,-5583.315626430014,NA19065,EAS,JPT,"Japanese in Tokyo, Japan"
724,119336.87184551905,6901.817693493241,6459.09345153738,NA19068,EAS,JPT,"Japanese in Tokyo, Japan"
725,102530.24009862384,9903.538694761044,-5942.090923876638,NA19072,EAS,JPT,"Japanese in Tokyo, Japan"
726,118109.59174432889,10141.753280483377,2229.214252427257,NA19074,EAS,JPT,"Japanese in Tokyo, Japan"
727,126561.11481266301,14286.800675533555,3220.6029561648875,NA19080,EAS,JPT,"Japanese in Tokyo, Japan"
728,109517.4074125961,2617.805831345929,-8068.760587483854,NA19083,EAS,JPT,"Japanese in Tokyo, Japan"
729,113309.8513465787,-532.2957822419187,10303.052861456206,NA19087,EAS,JPT,"Japanese in Tokyo, Japan"
730,110434.1722172013,8798.12567927167,4994.104542370946,NA19089,EAS,JPT,"Japanese in Tokyo, Japan"
731,-67169.4568721482,8123.764526080187,21515.879013006102,NA20502,EUR,TSI,Toscani in Italy
732,-31940.601436071545,5204.101348794257,-8937.061584709058,NA20503,EUR,TSI,Toscani in Italy
733,-42594.31151150441,-2500.4771921944675,11315.603591955385,NA20504,EUR,TSI,Toscani in Italy
734,-63076.20704904932,5204.429292587708,11475.647959954864,NA20505,EUR,TSI,Toscani in Italy
735,-51635.25604458933,2689.235943135756,15404.669126814224,NA20506,EUR,TSI,Toscani in Italy
736,-61506.88935910639,14411.967723715206,-1635.6274962595367,NA20507,EUR,TSI,Toscani in Italy
737,-46072.31815217281,4813.287309431331,4992.820748441861,NA20508,EUR,TSI,Toscani in Italy
738,-43903.84023581249,5050.133265326703,16730.483566206134,NA20509,EUR,TSI,Toscani in Italy
739,-25176.091375460855,4235.271619333598,-11885.681649041913,NA20510,EUR,TSI,Toscani in Italy
740,-35625.72975517597,-545.2168972635288,-11954.280261688275,NA20511,EUR,TSI,Toscani in Italy
741,-39558.89947900697,7506.613643846362,-5355.401304939209,NA20512,EUR,TSI,Toscani in Italy
742,-50946.44354002053,3353.785082377384,-3733.3573593728397,NA20513,EUR,TSI,Toscani in Italy
743,-38444.25594778556,-5819.261111758525,10820.519821162734,NA20514,EUR,TSI,Toscani in Italy
744,-45755.82893227751,5870.970503229179,4151.623044495132,NA20515,EUR,TSI,Toscani in Italy
745,-47939.43394287436,5826.509129127382,17537.723900365567,NA20516,EUR,TSI,Toscani in Italy
746,-26818.661325916564,-84.02618171354752,-1199.9957494583812,NA20517,EUR,TSI,Toscani in Italy
747,-54209.679650257334,8894.405090876773,9850.73107120664,NA20518,EUR,TSI,Toscani in Italy
748,-49673.57107376687,11275.852011289697,15516.345075028652,NA20519,EUR,TSI,Toscani in Italy
749,-10398.33605898934,12771.065306570383,-4405.117954851201,NA20520,EUR,TSI,Toscani in Italy
750,-52582.40221631536,-5830.932937020132,-10742.918228045985,NA20521,EUR,TSI,Toscani in Italy
751,-51395.84718427024,1191.3987637223217,-9625.293584971718,NA20522,EUR,TSI,Toscani in Italy
752,-48381.72600648771,7630.8786139692365,16017.661826465677,NA20524,EUR,TSI,Toscani in Italy
753,-55126.700909290725,-3784.6154889520535,6440.4972600477095,NA20525,EUR,TSI,Toscani in Italy
754,-65018.29741828051,8039.0168492997645,-4898.673361082954,NA20527,EUR,TSI,Toscani in Italy
755,-36119.79984126545,1420.8856231503796,-5935.90540853574,NA20528,EUR,TSI,Toscani in Italy
756,-38584.19596623231,12949.455733490144,7502.188549752294,NA20529,EUR,TSI,Toscani in Italy
